method,n_solutions,mse_mean,mse_std,ssim_mean,ssim_std,k_mean,k_std,cost_mean,cost_std,obj_mse_mean,obj_ssim_mean,obj_cost_mean,obj_k_mean,hv_4d,hv_2d_quality_parsimony
Envelope-DQN,50,0.003206387432292054,0.0012651352145220068,0.794700344972852,0.07281650774362568,1.38,0.49031435147801467,0.138,0.04903143514780146,0.9967936125677079,0.794700344972852,0.862,0.8619999979436398,0.73751,0.8237071010138546
energy,100,0.0017246845198678278,0.0010642926437215623,0.8818842742646689,0.06325730848348675,5.5,2.886751345948128,0.5500000022351742,0.2886751305539212,0.9982753154801322,0.8818842742646689,0.4499999977648258,0.45,0.73997,0.8353546842173025
greedy,100,0.001274688759876836,0.0010725201461279637,0.9115936299551044,0.06492789979397122,5.5,2.886751345948128,0.5500000022351742,0.2886751305539212,0.9987253112401231,0.9115936299551044,0.4499999977648258,0.45,0.7572,0.8542775775752207
random,2000,0.12175921602299782,0.1481331003199851,0.5617725941700019,0.4038946754001777,5.5,2.872999662988451,0.5500000022351742,0.28729996227720345,0.8782407839770021,0.5617725941700019,0.4499999977648258,0.45,0.75571,0.8533411898004617
top_1,10,0.00378266726620491,0.0012569932454219042,0.7526762089884951,0.06464294835776309,1.0,0.0,0.10000000149011609,0.0,0.9962173327337951,0.7526762089884951,0.8999999985098839,0.9,0.70246,0.7809478019564617
top_10,10,0.00072743100172369,0.0002891326682977907,0.9458210775666338,0.017635933266687703,10.0,0.0,1.0,0.0,0.9992725689982762,0.9458210775666338,0.0,0.0,0.0,0.0
top_2,10,0.00226435777731234,0.0007562589750892001,0.8472090433553243,0.03546101999654379,2.0,0.0,0.20000000298023218,0.0,0.9977356422226876,0.8472090433553243,0.7999999970197678,0.8,0.57396,0.7178430148700472
top_3,10,0.0021363552019465102,0.0008125759762963727,0.8545320352139095,0.042491870241692944,3.0,0.0,0.3000000119209289,0.0,0.9978636447980535,0.8545320352139095,0.699999988079071,0.7,0.45161,0.6465008963386703
top_5,10,0.00170361518394197,0.0006365609831506799,0.8849100752389246,0.03169361107077761,5.0,0.0,0.5,0.0,0.998296384816058,0.8849100752389246,0.5,0.5,0.23449,0.4676699029407979
top_7,10,0.00127218886045734,0.00048147593852744465,0.9093657143947788,0.026888027283233088,7.0,0.0,0.699999988079071,0.0,0.9987278111395426,0.9093657143947788,0.3000000119209289,0.3,0.0845,0.28372189783259744
